sentiment,text
0,@SunnySoPretty Ugh me too 
0,@Tracenater hey there chicky how are u? what u doin atm?? anything exciting?? I'm not-I'm bored as  lolz
0,ferrari on soft  know they are in trouble  come on kimi!
0,Want a new phone 
1,"@Teddy_Salad well sweetie you already r Teddy, don't u know that? At least that's my impression &amp; where lacking, well, just keep on it! "
1,seems stable now 
1,"@sofiaescobar Dan Brown has another book coming out in September, maybe you'll have a little more you-time for that one!  "
1,@theredwitch but I have a fabulous jacket I want to fit into! I wish to cater to my vanity. 
1,@designcoyote hope it was useful 
1,@marianpatricia oh that!! i remember that... so sweet for luis to say that!... its #8 right now on studio 23... 
0,@igwarrender  well its upset me even though i knew it was coming via the trailers  Think he comes back in someone elses body or something
1,@_Anshul oh! Your 1st anniversary?? Hurrah! Congratulations! Have fun  where do u want to go on holidays?
0,"...and then so graciously offered to be my protection :-/ Way 2 send me off, oh chivalrous one... I'm already anxious enough  "
0,Blue skies but sadly the office is calling...   http://twitpic.com/6ebv0
1,I'm off. College it is. Bye bye people! Till next weekend 
1,"@DonnieWahlberg If a house call is what we need to get you back in Montreal, you're on baby "
1,"@spbloom Again, beware or I will bring science into my argument.... "
0,Have to &quot;freshen&quot; my eyes every hour.. What a bother 
1,@ruskin147 I have bought it as a one off at the moment to see what it is like  Wouldn't kick the gift subscription out of the mag rack!
0,@batchout Hey... did I do something? 
1,@viveksingh http://bit.ly/keJ3N this is the link 
1,@NatachaGrace yep cuz britney is doing the bg vox and she SLAYS omg she is like 19 and goes INNNN its fina be a problemo hello 
1,"http://twitsnaps.com/jdo@  Do you know the way to San Jose, I only know the way to H8  #Photo #Airport #Chicago"
0,ok its not twitter its my stupid mac network  no bueno for today so my patience is shot.. TTYGL!!
1,@gerzMusicalDove I found a new &quot;Miley&quot;.. she added me today  what do u think?
1,"@mtkayahara I guess I'm neither normal, nor a cook. I woke up thinking I want to watch the new Star Trek movies "
1,@michaelsheen Thank You luv the pics... Looks so beautiful... LUV the dog to cute!!! 
1,"#followfriday Such a wonderful and pleasant lady, always nice to interact with! a must-follow! @Serenaf66 "
0,@gfalcone601 whats wrong with presley?!?!?!?!?!  xx
1,@valgtz  why is it?
1,"@PoisonIvy86 When Joey mistakes the Netherlands for Never Land, it always makes me smile "
1,"Well done Chelsea, Grandad and Brother George would be proud "
0,@MACTiNO ugh. I so wish I was there having fun with you guys 
1,@davidbeking hey at least you got me 
0,Know how u are sposed to make choices w/ your brain + NOT w/ yr heart? Since my brain CAME crazy I'm gonna try just listening to my heart 
1,@brendaSINGS I am!!!  please don't leave!
1,Cobra Starship = Amazing if I have not said already.  &gt; Guilty Pleasure &amp; The City Is At War. xx
0,"I'm so ungry with the ppl, who says be your friend. And you mis her and you love her, and she...Nothing. "
0,"@lilaznangel16 Thanks, K!! That was so sweet, and you put a message on it as well? :~ Mama's cryin'  hehehe"
0,Having to come up with little rhymes to learn all 20 Acts and when they were. Damn you women!  xoxo
0,listernin to music .. HATE revision 
0, i need a good moan and hug
0,Somebody give me a scientific calculator! Mine's not working. 
0,Homework  This is gonna take up ALL WEEKEND!!!
1,@aimonia are you looking for a home-based job? would you like to offer your services? please @ or DM me; I'll try to help you find work 
1,"@frankparenteau NEWSFLASH: it already does, my dear. "
0,im in the car driving to my uncles to catch up in my last day of Melbourne 
1,@evvss okay... Umm idk whut to say to that but just talk to her evvs 
0,Blah stuck at work on a beautiful day. 
1,DMelodyInFlorida She is good..still the same.   We'll prolly hang again soon.
1,@earthXplorer And here's to you having a better Monday than I have had today.  
1,"Good Morning Twitter Bugs, what are you guys up to ? "
1,"is sitting on the bus with my younger brother, we're on our way to Hydro-cup!  Sleep-over at our grand-aunt's tonight."
1,@judexmurphy YAY I'm going to read it now 
0,@metricjulie Not happy?  Would a tarot twreading help?
0,@NKOTB blah blah we're all winners?! No we're not..we ain't all won contests to chill &amp; hang with you.. 
1,@rohanhunter Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,"Ugh, Sigma Brush set is still Out of Stock "
1,@smilyross well thats the best part!  heheh.. having good company... but i bet food was great too! 
0,@trisha_053 I work fullllllllll time hahaha  Im so lame. 9-5 everyday
1,"@AlexLJ re: Geek Lovers hidey hole spec - are you somewhere in my living room right now..?  (although i have &gt;2TB, lol)"
0,"ish, i missed her "
1,"@EDDIEKLIVE Hope you have a great weekend Mr K! May God Bless you with Love, Inspiration, Vision &amp; Enlightenment~my new meaning for LIVE! "
1,didn't write in my journal today ...im back at it tough tommorow ...i got a double shot eXpresso in my fridge at work waiting for me 
0,@_CrC_  oh i missed the pic 
1,The messy queue  http://short.to/6w6v
1,@MJCUTLER Thanks! Glad you are enjoying my music choices!  
1,"@RobertPattz Did you eat sth really good?Sorry,i wanted to change some crazy words with you  but i am utterly out of order..its 1:00 am"
1,@sheridann season 2.  but theres bits from season1 in that video.
0,Can't believe how quiet its been in work this weekend 
1,@level13ceo -woot! that just made my day 
1,thinks the multivitamins she's been taking are just working wonders 
0,@LosDosMos I totally agree!! &amp; No creepy men in their parking lots. But it's like 10+ mi away. HD is like a mi from my house 
1,@IndependentQ quincy tite I emailed him and he emailed me back 
1,@Nikki_Louise aww I'm just watching that too. Bless 'em!  xxx
0,"*is sad now* i finally found a decent pic of me, but its from so long ago that i dont actually look like that anymore "
0,@GeekySneaks no i am well aware that my addiction far surpasses yours... 
1,:I'm catching up on the online counseling e-mails.  Super geek!  
1,@carolemoyes Thank you!  I'm good thanks...tired and achy but good!
0,@lia_joyce oh no. i plan on buying for a friend before i buy for myself  darn it. oh well.
0,Why does all good things come to an end! The Tonight Show with Jay Leno is history now. 
0,"If its the person i think it is...why the fuck are they leaving a voicemail,if not..whoops im sorry lol i dont pick up withheald calls :/ "
1,"@theladyisugly 'Them' being @inventrix and @cyberwasteland, but I couldn't fit it into the last tweet. "
0,@janjan1979 no   i am currently down to just gong.  do you have any room at your place for melb?
0,@Aramirez530 so imma be alone tonight again?!?!? 
1,Today is my half birthday  happy half birthday to me
0,@fat_cyclist is it any consolation to know I'm workin 430-830 in what's basically a giant greenhouse? And havin to deal with public 
0,oh man abc news why'd u have to show a segment on chipotle. do u knoo wat u jus did! now I'm craving any taco like product  GOODNITE.
0,I neeeed to cut me nails 
1,@chrisgarrett That does sound nice - perhaps I can 'treat' Sarah with a curry this week 
0,So sad that TBS is over  but it was a fucking epic show! Adam makes me grin like a fool. :')
0,@knotby9 It's not a good thing when shopping sucks. I'm sorry 
1,Doing work for my dad just cause I love him so much! 
0,@MuchMusic aww man lol I don't have people who would retweet it :p 
0,@MsPrettyBoriqua -- forreals? we should meet up &amp; do lunch or some. / @Jaylo1 -- i missed that episode. 
1,"@taylorswift13 taylor, i love your song. its typical teenage life. plis give me a shout out  xo from feybe &lt;3"
0,@annahhfreeman I can't believe I graduate soon! Imagine my emotions at my own graduation! Holy crap. Hah. I miss the BTGs. 
0,@xGrrrItzzEmzZx haha. maybe. idk. blah! enough school talk. it stress me out. 
0,Dangit  i almost wish this was recorded so i could fast forward the commercials lol  ~~Nika~~
1,"even though i have bad pitch, i still want to do singing lessons,, ha! i dont know why. ijust want to have a nice voice "
1,@xlilcutiepie Looove that song  but i'm kinda tired of it because i have heard it soooo many times 
0,@cbsop Easy enough- I work without any fancy lenses (unfortunately...)   One day I will own my dream camera equipment!
0,"@stephenchiu I was gonna wait until mid-July paycheck to do it  It seems to be working ok now, no weird video distortion at this time..."
1,"@Caroljs yeah, i'm going to bed in a min.. just catching up on emails.. etc.. hope you have a fab day!  x"
1,@arancinibaby Basically to be out of the house as much as possible lol So that includes work and study. I'll have time nxt yr though. 
